,author,title_abstract
0,Abdulhafiz Alkhouli, citoyenne événements objectif citoyens tweets événements cas élection messages candidats caractéristiques usage comparaisons candidats
1,Claudia Marinica, citoyenne événements objectif citoyens tweets événements cas élection messages candidats caractéristiques usage comparaisons candidats ciblage règles association connaissances décideur usage modèle règles association fouille données quantité règles mise phase traitement règles article approche décideur règles
2,Julien Longhi, citoyenne événements objectif citoyens tweets événements cas élection messages candidats caractéristiques usage comparaisons candidats
3,Nader Hassine, citoyenne événements objectif citoyens tweets événements cas élection messages candidats caractéristiques usage comparaisons candidats
4,Boris Borzic, citoyenne événements objectif citoyens tweets événements cas élection messages candidats caractéristiques usage comparaisons candidats
5,Marius Barctus, clustering data classification structuresous lignes colonnes données forme blocs applications clustering échelle approches succès méthode critère vraisemblance méthode limite article niveaux compte critère taille mémoire expériences approche temps calcul solutions qualité
6,Marc Boullé, clustering data classification structuresous lignes colonnes données forme blocs applications clustering échelle approches succès méthode critère vraisemblance méthode limite article niveaux compte critère taille mémoire expériences approche temps calcul solutions qualité modèle données modèle données sélection modèle modèle discrétisations critère sélection modèle utilisateur critère mesure qualité modèle optimisation critère modèles données données intérêt données application table données classification structure individus données forme blocs nature catégo méthodologie étape parties analyste discrétisation fréquences cas valeurs étape méthode individus regroupements parties jeux résultats correspondances données clustering données modèles mélange classification super structure lignes colonnes données forme blocs capacité type structure données contingence traité données article utilisation modèles blocs données continues évaluonsl efficacité extension données sélection transformation classification label approche classification label extension classification cas regain intérêt machine utilité domaines problème machine besoin don label nécessité perfor article mé discrétisation cas choix problème sélection modèle approche étude méthodes art nouvelleméthode intérêt sélection classification coclustering identification visualisation bases données défi outil visualisation relations visualisation forme matrice dimensions clusters intervalles outil grille intérêt outil apprentissage fouille données outil apprentissage données importance modèles cas cas cas exemple clients achats × construction modèle classification classifieur sélectionde modèles outil données millions individus dizaines centaines millions enregistrements apprentissage classifieur problème classification données nombre naïf hypothèse indépendance classe sélection moyennage modèles voies amélioration prédicteur pondération article estimation untel modèle régularisation vraisemblance modèle compte variable vraisemblance ligne minima expérimentations qualité optimisation fonction régularisation séquences évènements méthode deséquences modèles dimensions clusters dimension intervalles dimension groupes decellules estimateur densité séquences dimensions évènements séquences évènements cours temps exploitation simplification indicateurspermettant clusters séquences expériences données dblp approche classifications données contraintes classification objet nombre travaux recherche majorité travaux cas objets trajectoires espace compte contraintes structure réseau article prise compte contraintes trajectoires graphe classification sommets données utilité étude dynamique mouvement réseau comportement véhicules construction classification séries processus construction classification séries processus utilisateur étapes données représentations représentations coclustering résultats clustering séries base objets attributs objets séries attributs représentations classifieur base données processus performances art étude corrélations appels article application données taille issue secteur télécommunications problème territoire zones grâce comportement habitants terme téléphonie appels période mois phases appels vice groupes carte visualisation géographie territoire comportement habitants terme téléphonie phase année périodes changement distributions appels groupes évolution comportement usagers zones pays bivariée détection changement flux méthode ligne détection changement concept flux méthode détection critère données distribution méthode intérêt distribution données type changement changements changement expérimentations méthode méthodes art taille utilisateur critère évaluation construction apprentissage contexte fouille données données format individus cible enregistrements relation article itemsets construction informativité cadre classification critère surapprentissage introduisons espace modèles estimation densité distribution espace modèles critère paramètres pertinence expérimentations approche automatisation construction classification article cadre construction apprentissage cadre connaissance domaine données liens règles construction espace construction infini problèmes exploration apprentissage distribution probabilité espace algorithme tirage échantillons distribution expérimentations approche clustering données article question méthode courbes intervalles courbe cartésien données approche sélection modèle traitement nombre interprétabilitédes clusters classification mesure variation critère manière mesure somme distributions aprèsfusions intérêt approche cadre jeu données fouille données contexte données données difficulté lesindividus cible enregistrementsdans article discrétisation critère candidates décrivons optimisation discrétisation intervalles fréquence idée table cible information aide attributs intervalle discrétisation nombre intervalle attributsd effectifs aide modèles donnéesafin séparation valeurs classe jeux données discrétisation sélection modèles données article modèles estimation densité grille valeurs partitions cellulespermettent contingence approche maximum particularité famille modèles distribution modèles modèles nature modèles échantillon apprentissage distribution approche densité distribution détection changements distribution flux données approche flux données données grâce ligne stockage détection changements distribution flux question applications article changement problème apprentissage méthode discrétisation propriétés approche méthode art flux données estimation densité taille détection structures regain intérêt disposition taille réseaux méthodes recherche ” modularité article structure taille estimateurs densité modèles grille noeuds source cible structures méthode détection densité expérimentations potentiel structures graphes hypothèse décomposition optimisation poids modèles prédicteur classifieur outil classification problèmes dépit hypothèse indépendance classe méthodes performance jour sélection modèles article extension sélection classifieur modèle pondération optimisation poids approche diminution nombre perte performance sélection apprentissage fouille données données format individus cible enregistrements relation approches représentation plat conséquent représentation biais rapport cible contexte relations information attributs effectifs modalités modèles employés information attributs estimation densité cible relation expérimentations données domaine critère robustesse règles classification utilisation règles classification modèles années forme règles motifs règles classification mesure intérêt performances performances mesure intérêt confiance taux accroissement seuillage règles règles article critère robustesse règles classification données critère approche expression probabilité données règles critère règles règles données classification classes approche explicatives phase préparation données méthodesde discrétisation valeurs applications interprétation estimation densité sélection type amont méthodes nombre dizaine nombre article méthodes discrétisation valeurs partitionnerd approche sélection modèle classifieur desexpérimentations apport méthode cas stratégie apprentissage article stratégie apprentissage stratégie méthode discrétisation expériences données objectif position échelon données critère évaluation construction arbres décision article apprentissage arbres décision problème expression probabilité arbre données problème construction arbre problème optimisation espace arbres décision arbre sens arbre optimisation pré bases performances arttout méthode classification apprentissage données papier méthode classification méthodeest sens bayesien sélection modèles lissage distribution modèles complexité méthode dedonnées mémoire pré résultats scale méthode performances temps calcul opinions corpus sites endroit opinions site exemple site millions commentaires films contenus attentes méthode apprentissage vocabulaire opinions méthode rapprochement films particuliers base usage vocabulaire résultats typologie films rapprochements films étude analyses contexte recommandation contenus outil préparation modélisation données fouille données outil préparation données modélisation apprentissage outil corrélation cas importance paires cas classification évaluations modèles cas cas représentation données recodage outil modèle apprentissage sélection modèles outil données centaines milliers individus dizaines milliers succès challenges exploitation masses données tendance siècle augmentation volume données augmentation information capacité données technologies compromis coût oeuvre qualité information approche capacité données information grâce automatisation traitements focalisation données evaluation application préparation données jours récolte données besoin temps conséquent travail phase préparation données représentation représentation problème article procédé sélection représentation travaux protocole évaluation représentation cas classification protocole méthode classification automaticité fiabilité évaluation fonctionnement apports protocole problème préparation données consommation fiabilité interprétabilité décisions approche estimation densité rangs estimation distribution rangs cible prédicteurs approche partition cible rangs individus effectifs estimateur densité rangs hypothèse estimateurs méthodes challenge estimation densité estimateur prédicteurs estimateur prédicteurs résultats simplicité méthode évaluation classification préparation données classification méthodes sélection temps calcul interactions article méthode importance paire intervalles cas groupes cas données corrélation paire variable partitionnement approche sélection modèle expérimentations apports méthode amélioration performances classification sélection approche classification oeuvre raisons calcul instances partitionde prototypes structure règle article critère évaluation partition nombre cellules cible cellules optimisation partie propriétés critère standards vingtaine jeux défaut surapprendpas robust values domaine apprentissage méthodes modalités maximum nombre modalités généralisation discrétisation problème modalités apprentissage groupages robustesse statistique variations critère regroupements lignes tableau comportement expérimentations approche méthode groupage groupages terme qualité nombre groupes utilisation proximité cadre apprentissage classification règle définition voisinage proximité notions voisinage substitution variantes bibliographie expérimentation données télécom types catégories effets piège dimension comportement quantification phénomène ressort étude utilisation voisinage amélioration statistique rang précautions dimension
7,Fabrice Clérot, clustering data classification structuresous lignes colonnes données forme blocs applications clustering échelle approches succès méthode critère vraisemblance méthode limite article niveaux compte critère taille mémoire expériences approche temps calcul solutions qualité modèle données modèle données sélection modèle modèle discrétisations critère sélection modèle utilisateur critère mesure qualité modèle optimisation critère modèles données données intérêt données données article méthodologie données données individus objectif table table identification termes don individu solution données coclustering modèle données données données données termes utilité fouille classification niveau protection application table données classification structure individus données forme blocs nature catégo méthodologie étape parties analyste discrétisation fréquences cas valeurs étape méthode individus regroupements parties jeux résultats correspondances données coclustering identification visualisation bases données défi outil visualisation relations visualisation forme matrice dimensions clusters intervalles outil grille intérêt séquences évènements méthode deséquences modèles dimensions clusters dimension intervalles dimension groupes decellules estimateur densité séquences dimensions évènements séquences évènements cours temps exploitation simplification indicateurspermettant clusters séquences expériences données dblp approche contraintes application personnalisation scores lorsqu client produit probabilité probabilitéest aide modèle clients probabilité contact typologie clients idée différenciées groupe clients article typologie proximité clients vis vis score apport données systèmes recommandation hybridation démarrage travaux systèmes recommandation situation données notation référence usages recommandation performances systèmes recommandation sources données situation démarrage cas données usage performance cold start système recommandation approches cascade collaboratives interrogation flux données systèmes gestion flux données données ligne façoncontinue ressources partie flux requêtes systèmes données flux conséquent requêtes périodes article approche période mémoire appels données données niveau implantation échantillonnage fenêtre repère représentation flux specifically exploration exploitation point function thedecision attitude main carte données article carte auto outil cadre données outil résultats segmentation utilisateur outils visualisation flux données échantillonnage classification face données systèmes hypothèse totalité interrogation solution résumé requêtes fouille données flux données échantillonnage champ catégories papier qualité période panoplie requêtes clustream idée profit avantages approche données résultats exploitation masses données tendance siècle augmentation volume données augmentation information capacité données technologies compromis coût oeuvre qualité information approche capacité données information grâce automatisation traitements focalisation données arbres décision modes cibles méthode induction arbre décision multi modes apprentissage cibles principes arbre décision cas modélisation cibles avantages méthode rapport arbre décision temps réseau stream cours années techniques flux données temps article destream objets flux temps contribution trafic trafic intervalle temps approche hiérarchisation systèmes transit flux information réseau accords systèmes oeuvre protocole négociationde accords hiérarchie position systèmes type client fournisseur systèmes client fournisseur client fournisseur flux information accord type peering transit systèmes dépit importance dehiérarchie clauses accords consensus hiérarchie notion issue sociauxpour position systèmes informations informations
8,Hubert Naacke, modèle clustering recommandation recommandation points intérêts réseaux accompagnél émergence échanges données points intérêts utilisateurs problème espaces utilisateurs ville monde papier impact approche qualité recommandation approche modèle poisson réseau comportements mobilité évaluation performances données résultats précision recommandationalternatives modèle factorisation poisson recommandation points intérêt explosion volumes données extraction utilisateurs préférences utilisateur points intérêt adéquation recommandation points intérêt composante recommandation contraintespropres sparsité données influence papier pré modèle recommandation factorisation pois solution modèle expérimentations jeu données expériences qualité recommandation modèles art intégration influences recommandation points intérêt recommandation points intérêts émergence réseaux approches recommandation données caractéristiques performances intégration modèle factorisation recommandation problème papier td extension modèle dépendances jeu données gain précision larecommandation factorisation biais recommandations factorisation qualité prédiction systèmes recommandation statique notes utilisateurs qualité notes compte quantité notes période factorisation baisse qualité travaux qualité recommandations factorisation produits ligne notes utilisateurs utilisateur biais groupe produits améliorons factorisations expérimentations jeux données efficacité approche
9,Pierre Dosne, modèle clustering recommandation recommandation points intérêts réseaux accompagnél émergence échanges données points intérêts utilisateurs problème espaces utilisateurs ville monde papier impact approche qualité recommandation approche modèle poisson réseau comportements mobilité évaluation performances données résultats précision recommandationalternatives
